,Bang,AWS,OpenStack,DigitalOcean,Google Cloud Platform,RightScale,Scalr
Compute,,EC2,Nova,,Compute Engine,Servers,
,,,,,,,
,,,,,,,
,,Amazon Machine Image (AMI),Image,Multi Cloud Image (MCI),,,
,server,Instance,Server,Droplet,Instance,,
,,Instance Type,Flavor,,Machine Type,,
,server_group,Auto Scaling Group,,,Instance Group,Server Array,
,,Launch Configuration,,,Instance Template,Server Template,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,deployment,farm
,,,,,,server template,farm role
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Object Storage,,S3,Swift,,Cloud Storage,,
